,EDA,time
0,1.021126,2021-12-17 17:15:42.250
1,1.0198459999999998,2021-12-17 17:15:42.500
2,1.055708,2021-12-17 17:15:42.750
3,1.023688,2021-12-17 17:15:43.000
4,1.023688,2021-12-17 17:15:43.250
5,1.017284,2021-12-17 17:15:43.500
6,1.021126,2021-12-17 17:15:43.750
7,1.035215,2021-12-17 17:15:44.000
8,1.035215,2021-12-17 17:15:44.250
9,0.991668,2021-12-17 17:15:44.500
10,0.975018,2021-12-17 17:15:44.750
11,0.972456,2021-12-17 17:15:45.000
12,0.9827030000000001,2021-12-17 17:15:45.250
13,0.980141,2021-12-17 17:15:45.500
14,1.01088,2021-12-17 17:15:45.750
15,1.064673,2021-12-17 17:15:46.000
16,1.063393,2021-12-17 17:15:46.250
17,1.063393,2021-12-17 17:15:46.500
18,1.064673,2021-12-17 17:15:46.750
19,1.067235,2021-12-17 17:15:47.000
20,1.068516,2021-12-17 17:15:47.250
21,1.067235,2021-12-17 17:15:47.500
22,1.063393,2021-12-17 17:15:47.750
23,1.063393,2021-12-17 17:15:48.000
24,1.055708,2021-12-17 17:15:48.250
25,1.049304,2021-12-17 17:15:48.500
26,1.053146,2021-12-17 17:15:48.750
27,1.051865,2021-12-17 17:15:49.000
28,1.050585,2021-12-17 17:15:49.250
29,1.050585,2021-12-17 17:15:49.500
30,1.046742,2021-12-17 17:15:49.750
31,1.045461,2021-12-17 17:15:50.000
32,1.044181,2021-12-17 17:15:50.250
33,1.0429,2021-12-17 17:15:50.500
34,1.044181,2021-12-17 17:15:50.750
35,1.0429,2021-12-17 17:15:51.000
36,1.0429,2021-12-17 17:15:51.250
37,1.040338,2021-12-17 17:15:51.500
38,1.041619,2021-12-17 17:15:51.750
39,1.037777,2021-12-17 17:15:52.000
40,1.033934,2021-12-17 17:15:52.250
41,1.0326540000000002,2021-12-17 17:15:52.500
42,1.0275299999999998,2021-12-17 17:15:52.750
43,1.02625,2021-12-17 17:15:53.000
44,1.021126,2021-12-17 17:15:53.250
45,1.023688,2021-12-17 17:15:53.500
46,1.0198459999999998,2021-12-17 17:15:53.750
47,1.0198459999999998,2021-12-17 17:15:54.000
48,1.016003,2021-12-17 17:15:54.250
49,1.0198459999999998,2021-12-17 17:15:54.500
50,1.018565,2021-12-17 17:15:54.750
51,1.0198459999999998,2021-12-17 17:15:55.000
52,1.018565,2021-12-17 17:15:55.250
53,1.022407,2021-12-17 17:15:55.500
54,1.014722,2021-12-17 17:15:55.750
55,1.016003,2021-12-17 17:15:56.000
56,1.013442,2021-12-17 17:15:56.250
57,1.01088,2021-12-17 17:15:56.500
