,EDA,time
121,14.19483,2022-08-17 13:30:43.000
122,14.31272,2022-08-17 13:30:43.250
123,14.367821,2022-08-17 13:30:43.500
124,14.445986999999999,2022-08-17 13:30:43.750
125,14.448549,2022-08-17 13:30:44.000
126,14.447268,2022-08-17 13:30:44.250
127,14.449829999999999,2022-08-17 13:30:44.500
128,14.445986999999999,2022-08-17 13:30:44.750
129,14.413951,2022-08-17 13:30:45.000
130,14.375509,2022-08-17 13:30:45.250
131,14.361413,2022-08-17 13:30:45.500
132,14.352444,2022-08-17 13:30:45.750
133,14.349879999999999,2022-08-17 13:30:46.000
134,14.356288000000001,2022-08-17 13:30:46.250
135,14.337067000000001,2022-08-17 13:30:46.500
136,14.329378,2022-08-17 13:30:46.750
137,14.306313000000001,2022-08-17 13:30:47.000
138,14.275559,2022-08-17 13:30:47.250
139,14.262745,2022-08-17 13:30:47.500
140,14.267871,2022-08-17 13:30:47.750
141,14.331941,2022-08-17 13:30:48.000
142,14.24865,2022-08-17 13:30:48.250
143,14.256338000000001,2022-08-17 13:30:48.500
144,14.370382999999999,2022-08-17 13:30:48.750
145,14.4037,2022-08-17 13:30:49.000
146,14.474177,2022-08-17 13:30:49.250
147,14.600504999999998,2022-08-17 13:30:49.500
148,14.636385,2022-08-17 13:30:49.750
149,14.720958,2022-08-17 13:30:50.000
150,14.729928,2022-08-17 13:30:50.250
151,14.736335,2022-08-17 13:30:50.500
152,14.715832,2022-08-17 13:30:50.750
153,14.699174,2022-08-17 13:30:51.000
154,14.645354000000001,2022-08-17 13:30:51.250
155,14.631259,2022-08-17 13:30:51.500
156,14.690204000000001,2022-08-17 13:30:51.750
157,14.751712,2022-08-17 13:30:52.000
158,14.790154000000001,2022-08-17 13:30:52.250
159,14.797842000000001,2022-08-17 13:30:52.500
160,14.755556,2022-08-17 13:30:52.750
161,14.72352,2022-08-17 13:30:53.000
162,14.681234,2022-08-17 13:30:53.250
163,14.654325,2022-08-17 13:30:53.500
164,14.629978,2022-08-17 13:30:53.750
165,14.600504999999998,2022-08-17 13:30:54.000
166,14.595379999999999,2022-08-17 13:30:54.250
167,14.583847,2022-08-17 13:30:54.500
168,14.587691,2022-08-17 13:30:54.750
169,14.576159,2022-08-17 13:30:55.000
170,14.580003,2022-08-17 13:30:55.250
171,14.567188,2022-08-17 13:30:55.500
172,14.562063,2022-08-17 13:30:55.750
173,14.526183999999999,2022-08-17 13:30:56.000
174,14.467238,2022-08-17 13:30:56.250
175,14.405731,2022-08-17 13:30:56.500
176,14.369851999999998,2022-08-17 13:30:56.750
177,14.34038,2022-08-17 13:30:57.000
178,14.351911999999999,2022-08-17 13:30:57.250
179,14.294248999999999,2022-08-17 13:30:57.500
180,14.42239,2022-08-17 13:30:57.750
181,14.513370000000002,2022-08-17 13:30:58.000
182,14.551812,2022-08-17 13:30:58.250
183,14.540279,2022-08-17 13:30:58.500
184,14.547968,2022-08-17 13:30:58.750
185,14.549249,2022-08-17 13:30:59.000
186,14.558219,2022-08-17 13:30:59.250
187,14.618445000000001,2022-08-17 13:30:59.500
188,14.640229000000001,2022-08-17 13:30:59.750
189,14.692767000000002,2022-08-17 13:31:00.000
190,14.867038,2022-08-17 13:31:00.250
